UID,Recomend
124,"[[21], [21, 12, 39, 25, 6, 22, 40, 2, 34, 52]]"
125,"[[31], [31, 61, 27, 36, 50, 53, 54, 49, 32, 46]]"
126,"[[62], [62, 89, 47, 32, 49, 68, 28, 56, 53, 54]]"
127,"[[3], [3, 51, 11, 52, 100, 21, 65, 34, 31, 2]]"
128,"[[27], [27, 87, 50, 36, 78, 31, 66, 35, 65, 62]]"
129,"[[20], [20, 48, 19, 90, 28, 62, 60, 5, 84, 89]]"
130,"[[50], [50, 53, 49, 56, 62, 36, 35, 46, 42, 31]]"
131,"[[89], [89, 62, 50, 53, 35, 36, 72, 32, 93, 68]]"
132,"[[62], [62, 50, 27, 53, 49, 61, 54, 69, 35, 65]]"
133,"[[94], [94, 89, 86, 18, 16, 62, 88, 82, 91, 90]]"
134,"[[47], [47, 62, 68, 28, 90, 63, 95, 23, 49, 54]]"
135,"[[29], [29, 2, 50, 35, 36, 31, 32, 11, 5, 27]]"
136,"[[89], [89, 63, 90, 62, 28, 68, 47, 88, 19, 32]]"
137,"[[1], [1, 98, 7, 4, 89, 40, 50, 88, 83, 72]]"
138,"[[16], [16, 18, 15, 8, 10, 94, 86, 95, 60, 7]]"
139,"[[6], [6, 61, 95, 62, 31, 100, 21, 49, 47, 94]]"
140,"[[71], [71, 85, 84, 48, 86, 22, 62, 78, 50, 27]]"
141,"[[69], [69, 50, 61, 65, 62, 54, 31, 66, 36, 6]]"
142,"[[5], [5, 21, 27, 31, 50, 54, 36, 53, 61, 11]]"
143,"[[34], [34, 22, 10, 65, 42, 87, 21, 46, 40, 50]]"
144,"[[50], [50, 2, 10, 94, 97, 1, 69, 56, 35, 29]]"
145,"[[27], [27, 32, 76, 29, 50, 53, 54, 35, 78, 36]]"
146,"[[27], [27, 78, 5, 36, 61, 31, 72, 50, 76, 32]]"
147,"[[31], [31, 50, 53, 61, 65, 27, 21, 66, 35, 69]]"
148,"[[53], [53, 32, 89, 50, 29, 54, 35, 36, 27, 62]]"
149,"[[10], [10, 62, 6, 66, 32, 61, 11, 50, 23, 68]]"
150,"[[7], [7, 89, 50, 32, 8, 36, 15, 19, 35, 29]]"
151,"[[7], [7, 50, 29, 36, 15, 35, 53, 89, 98, 21]]"
152,"[[22], [22, 42, 21, 14, 26, 39, 34, 12, 10, 25]]"
153,"[[21], [21, 31, 51, 52, 22, 81, 27, 25, 42, 26]]"
154,"[[89], [89, 76, 72, 91, 71, 83, 92, 29, 88, 93]]"
155,"[[7], [7, 10, 3, 1, 11, 5, 36, 50, 8, 29]]"
156,"[[3], [3, 10, 6, 23, 11, 75, 30, 9, 47, 46]]"
157,"[[62], [62, 68, 50, 49, 32, 66, 53, 35, 36, 89]]"
158,"[[27], [27, 61, 50, 31, 36, 80, 35, 22, 53, 66]]"
159,"[[29], [29, 50, 27, 36, 35, 31, 89, 53, 81, 100]]"
160,"[[29], [29, 50, 5, 89, 7, 21, 35, 83, 36, 91]]"
161,"[[5], [5, 27, 36, 50, 78, 89, 76, 87, 72, 73]]"
162,"[[78], [78, 72, 11, 32, 83, 76, 75, 93, 89, 73]]"
163,"[[50], [50, 29, 53, 32, 69, 54, 89, 49, 7, 35]]"
164,"[[62], [62, 89, 32, 50, 53, 68, 49, 47, 72, 36]]"
165,"[[76], [76, 97, 89, 61, 62, 3, 54, 6, 31, 78]]"
166,"[[21], [21, 65, 14, 34, 42, 46, 11, 81, 12, 26]]"
167,"[[76], [76, 89, 6, 41, 78, 73, 88, 72, 54, 83]]"
168,"[[50], [50, 5, 81, 53, 89, 27, 36, 21, 72, 32]]"
169,"[[95], [95, 90, 85, 86, 82, 89, 88, 96, 97, 94]]"
170,"[[94], [94, 10, 11, 3, 40, 27, 89, 36, 5, 23]]"
171,"[[29], [29, 50, 27, 3, 36, 11, 35, 5, 21, 100]]"
172,"[[89], [89, 62, 50, 36, 27, 53, 68, 49, 66, 32]]"
173,"[[94], [94, 86, 78, 89, 95, 91, 97, 76, 72, 82]]"
174,"[[32], [32, 50, 89, 62, 6, 45, 36, 10, 53, 61]]"
175,"[[31], [31, 27, 61, 6, 51, 66, 36, 52, 62, 48]]"
176,"[[65], [65, 31, 27, 54, 61, 53, 35, 29, 50, 14]]"
177,"[[49], [49, 31, 65, 54, 83, 53, 61, 62, 21, 27]]"
178,"[[50], [50, 53, 35, 32, 89, 36, 62, 27, 29, 66]]"
179,"[[62], [62, 14, 27, 50, 54, 69, 53, 61, 65, 89]]"
180,"[[50], [50, 36, 32, 53, 66, 68, 62, 27, 49, 10]]"
181,"[[89], [89, 50, 91, 36, 29, 81, 93, 53, 88, 62]]"
182,"[[50], [50, 29, 36, 53, 35, 32, 89, 49, 1, 27]]"
183,"[[53], [53, 89, 35, 65, 50, 76, 66, 92, 62, 72]]"
184,"[[54], [54, 62, 32, 49, 61, 68, 89, 66, 28, 50]]"
185,"[[89], [89, 62, 36, 50, 27, 32, 49, 68, 35, 53]]"
186,"[[62], [62, 89, 49, 68, 54, 8, 50, 29, 32, 48]]"
187,"[[39], [39, 21, 53, 98, 42, 73, 78, 72, 83, 80]]"
188,"[[54], [54, 62, 89, 78, 49, 91, 100, 99, 61, 73]]"
189,"[[50], [50, 89, 1, 91, 29, 8, 81, 87, 27, 36]]"
190,"[[27], [27, 50, 36, 62, 87, 53, 35, 72, 66, 78]]"
191,"[[62], [62, 53, 32, 66, 68, 54, 49, 91, 55, 89]]"
192,"[[89], [89, 29, 49, 32, 50, 35, 54, 7, 62, 66]]"
193,"[[53], [53, 50, 32, 49, 66, 62, 27, 68, 36, 54]]"
194,"[[50], [50, 29, 53, 35, 36, 2, 89, 69, 32, 62]]"
195,"[[53], [53, 50, 36, 35, 32, 29, 65, 27, 89, 66]]"
196,"[[89], [89, 91, 88, 76, 81, 93, 72, 87, 50, 1]]"
197,"[[65], [65, 98, 91, 83, 81, 100, 94, 67, 21, 78]]"
198,"[[66], [66, 27, 68, 62, 28, 61, 49, 35, 47, 12]]"
199,"[[73], [73, 80, 81, 78, 72, 79, 94, 76, 87, 27]]"
200,"[[62], [62, 94, 47, 28, 89, 68, 86, 91, 54, 32]]"
201,"[[36], [36, 27, 50, 13, 31, 5, 62, 15, 10, 66]]"
202,"[[53], [53, 49, 50, 66, 68, 65, 62, 21, 31, 32]]"
203,"[[81], [81, 2, 83, 89, 29, 1, 98, 87, 91, 50]]"
204,"[[18], [18, 50, 1, 89, 44, 7, 15, 93, 35, 29]]"
205,"[[29], [29, 50, 36, 35, 27, 32, 53, 31, 89, 54]]"
206,"[[10], [10, 62, 89, 3, 50, 22, 23, 11, 78, 44]]"
207,"[[62], [62, 50, 49, 53, 27, 68, 36, 89, 31, 72]]"
208,"[[10], [10, 50, 60, 29, 1, 36, 3, 56, 35, 46]]"
209,"[[29], [29, 8, 50, 7, 32, 35, 18, 36, 54, 62]]"
210,"[[89], [89, 97, 32, 78, 54, 98, 72, 93, 50, 62]]"
211,"[[29], [29, 50, 35, 31, 53, 27, 83, 81, 21, 36]]"
212,"[[50], [50, 27, 49, 62, 36, 54, 48, 87, 88, 97]]"
213,"[[29], [29, 50, 81, 35, 21, 56, 2, 25, 7, 36]]"
214,"[[31], [31, 100, 27, 50, 36, 61, 21, 65, 53, 66]]"
215,"[[62], [62, 19, 18, 94, 89, 68, 86, 16, 97, 96]]"
216,"[[89], [89, 97, 62, 78, 48, 93, 47, 72, 68, 49]]"
217,"[[21], [21, 14, 12, 26, 29, 42, 50, 25, 39, 56]]"
218,"[[29], [29, 50, 35, 36, 53, 27, 32, 89, 72, 49]]"
219,"[[50], [50, 29, 49, 54, 32, 53, 62, 36, 31, 56]]"
220,"[[62], [62, 89, 32, 95, 94, 19, 97, 68, 96, 47]]"
221,"[[87], [87, 78, 88, 94, 5, 80, 73, 86, 27, 79]]"
222,"[[89], [89, 19, 18, 7, 95, 88, 62, 90, 32, 93]]"
223,"[[27], [27, 5, 50, 29, 21, 65, 31, 36, 53, 81]]"
224,"[[62], [62, 47, 68, 28, 63, 89, 72, 49, 6, 93]]"
225,"[[50], [50, 62, 89, 49, 32, 36, 53, 35, 68, 69]]"
226,"[[49], [49, 98, 72, 83, 21, 42, 54, 39, 47, 80]]"
227,"[[89], [89, 54, 62, 68, 86, 49, 94, 97, 47, 32]]"
228,"[[5], [5, 50, 21, 27, 31, 29, 14, 53, 81, 65]]"
229,"[[10], [10, 27, 55, 36, 61, 6, 31, 23, 3, 11]]"
230,"[[89], [89, 62, 91, 94, 93, 10, 47, 72, 87, 38]]"
231,"[[31], [31, 21, 49, 81, 50, 26, 42, 22, 27, 25]]"
232,"[[62], [62, 49, 48, 39, 54, 32, 42, 21, 14, 50]]"
233,"[[54], [54, 49, 11, 62, 65, 32, 50, 53, 29, 89]]"
234,"[[62], [62, 50, 89, 35, 36, 66, 53, 32, 97, 27]]"
235,"[[31], [31, 49, 81, 27, 62, 89, 54, 50, 36, 32]]"
236,"[[6], [6, 78, 28, 49, 62, 81, 89, 47, 73, 76]]"
237,"[[62], [62, 50, 32, 36, 53, 35, 27, 47, 69, 66]]"
238,"[[89], [89, 50, 62, 29, 49, 36, 32, 27, 66, 53]]"
239,"[[10], [10, 50, 87, 22, 29, 1, 27, 31, 36, 2]]"
240,"[[89], [89, 32, 54, 53, 50, 72, 29, 62, 36, 49]]"
241,"[[50], [50, 35, 53, 89, 29, 72, 87, 36, 83, 32]]"
242,"[[29], [29, 65, 81, 50, 35, 21, 42, 27, 14, 22]]"
243,"[[55], [55, 10, 62, 94, 31, 1, 48, 38, 22, 61]]"
244,"[[72], [72, 50, 89, 78, 76, 62, 35, 53, 69, 87]]"
245,"[[89], [89, 83, 100, 78, 98, 72, 49, 90, 28, 63]]"
246,"[[10], [10, 94, 89, 88, 86, 60, 62, 36, 5, 8]]"
247,"[[7], [7, 89, 32, 19, 78, 27, 50, 36, 29, 76]]"
248,"[[50], [50, 29, 32, 69, 27, 36, 53, 72, 54, 35]]"
249,"[[27], [27, 89, 36, 54, 29, 50, 35, 62, 32, 8]]"
250,"[[89], [89, 36, 50, 27, 53, 35, 91, 32, 29, 31]]"
251,"[[54], [54, 65, 49, 62, 27, 61, 68, 28, 47, 78]]"
252,"[[14], [14, 31, 21, 11, 51, 65, 52, 27, 100, 29]]"
253,"[[10], [10, 44, 9, 55, 43, 67, 24, 3, 23, 57]]"
254,"[[62], [62, 54, 47, 68, 65, 89, 32, 71, 28, 66]]"
255,"[[100], [100, 61, 31, 6, 27, 54, 36, 89, 53, 32]]"
256,"[[49], [49, 48, 61, 54, 89, 50, 31, 68, 27, 66]]"
257,"[[10], [10, 81, 5, 60, 1, 89, 36, 27, 94, 8]]"
258,"[[50], [50, 53, 35, 89, 27, 36, 72, 32, 29, 31]]"
259,"[[65], [65, 27, 50, 36, 31, 10, 34, 53, 66, 21]]"
260,"[[62], [62, 68, 89, 32, 61, 54, 49, 66, 94, 36]]"
261,"[[22], [22, 14, 34, 70, 21, 42, 10, 26, 31, 39]]"
262,"[[27], [27, 50, 29, 36, 35, 3, 11, 31, 32, 65]]"
263,"[[38], [38, 10, 87, 66, 35, 62, 27, 23, 36, 50]]"
264,"[[91], [91, 89, 87, 29, 8, 93, 88, 83, 50, 65]]"
265,"[[29], [29, 50, 27, 89, 35, 36, 32, 54, 65, 31]]"
266,"[[50], [50, 27, 89, 62, 29, 53, 54, 36, 71, 35]]"
267,"[[83], [83, 11, 54, 6, 32, 49, 61, 14, 39, 31]]"
268,"[[11], [11, 25, 48, 2, 10, 14, 3, 22, 39, 40]]"
269,"[[81], [81, 55, 22, 91, 50, 89, 10, 36, 35, 2]]"
270,"[[29], [29, 89, 49, 50, 5, 27, 54, 83, 32, 93]]"
271,"[[19], [19, 89, 50, 18, 32, 7, 62, 60, 36, 72]]"
272,"[[83], [83, 73, 76, 98, 6, 14, 72, 78, 39, 100]]"
273,"[[10], [10, 50, 2, 29, 97, 35, 89, 7, 53, 36]]"
274,"[[21], [21, 50, 11, 35, 42, 39, 49, 12, 47, 65]]"
275,"[[81], [81, 10, 34, 50, 2, 65, 1, 21, 22, 27]]"
276,"[[32], [32, 36, 27, 61, 50, 54, 62, 35, 69, 31]]"
277,"[[56], [56, 50, 32, 49, 29, 62, 35, 69, 53, 66]]"
278,"[[89], [89, 32, 62, 50, 68, 28, 49, 54, 47, 66]]"
279,"[[27], [27, 65, 3, 61, 11, 31, 36, 6, 55, 53]]"
280,"[[81], [81, 100, 29, 50, 7, 8, 11, 46, 21, 10]]"
281,"[[50], [50, 49, 62, 53, 32, 36, 35, 69, 56, 89]]"
282,"[[89], [89, 50, 32, 29, 76, 35, 53, 93, 72, 62]]"
283,"[[60], [60, 7, 48, 89, 50, 41, 11, 32, 63, 97]]"
284,"[[89], [89, 32, 62, 97, 49, 68, 54, 50, 88, 94]]"
285,"[[62], [62, 89, 49, 53, 50, 68, 32, 72, 93, 36]]"
286,"[[100], [100, 81, 5, 41, 51, 7, 8, 85, 3, 52]]"
287,"[[3], [3, 10, 7, 27, 100, 11, 60, 15, 78, 36]]"
288,"[[14], [14, 98, 12, 2, 26, 39, 65, 25, 31, 42]]"
289,"[[50], [50, 87, 36, 22, 35, 88, 27, 10, 89, 53]]"
290,"[[27], [27, 48, 50, 49, 62, 89, 88, 81, 31, 36]]"
291,"[[91], [91, 89, 94, 7, 10, 8, 81, 97, 95, 50]]"
292,"[[53], [53, 54, 49, 68, 62, 32, 47, 61, 65, 27]]"
293,"[[50], [50, 53, 46, 29, 54, 14, 69, 32, 35, 56]]"
294,"[[10], [10, 89, 94, 36, 27, 95, 50, 32, 91, 5]]"
295,"[[27], [27, 50, 49, 48, 31, 21, 62, 36, 39, 11]]"
296,"[[94], [94, 47, 86, 62, 28, 9, 68, 55, 23, 90]]"
297,"[[5], [5, 8, 19, 89, 62, 90, 7, 49, 48, 32]]"
298,"[[62], [62, 10, 47, 68, 12, 38, 28, 66, 50, 48]]"
299,"[[32], [32, 62, 49, 54, 68, 61, 89, 28, 53, 69]]"
300,"[[36], [36, 50, 27, 1, 31, 35, 32, 69, 29, 10]]"
301,"[[87], [87, 89, 88, 72, 96, 76, 93, 97, 78, 50]]"
302,"[[50], [50, 29, 35, 32, 36, 89, 27, 62, 53, 69]]"
303,"[[5], [5, 27, 81, 50, 100, 36, 29, 31, 65, 21]]"
304,"[[36], [36, 50, 27, 53, 35, 62, 32, 66, 31, 29]]"
305,"[[54], [54, 49, 72, 32, 62, 89, 50, 47, 68, 53]]"
306,"[[27], [27, 78, 73, 89, 87, 80, 88, 76, 72, 5]]"
307,"[[50], [50, 31, 27, 29, 49, 53, 36, 69, 65, 54]]"
308,"[[50], [50, 36, 29, 27, 56, 35, 31, 69, 2, 53]]"
309,"[[50], [50, 81, 25, 2, 5, 29, 89, 56, 39, 21]]"
310,"[[81], [81, 31, 50, 49, 80, 21, 27, 78, 87, 72]]"
311,"[[81], [81, 31, 100, 27, 36, 50, 29, 2, 3, 61]]"
312,"[[10], [10, 94, 78, 89, 81, 86, 62, 88, 3, 76]]"
313,"[[53], [53, 61, 27, 31, 32, 36, 50, 54, 35, 66]]"
314,"[[29], [29, 89, 50, 8, 35, 32, 10, 53, 2, 36]]"
315,"[[48], [48, 29, 49, 50, 32, 11, 62, 36, 54, 28]]"
316,"[[50], [50, 89, 36, 32, 35, 29, 62, 61, 53, 49]]"
317,"[[10], [10, 44, 60, 55, 3, 1, 91, 22, 57, 11]]"
318,"[[50], [50, 53, 27, 72, 65, 69, 31, 36, 54, 62]]"
319,"[[32], [32, 62, 29, 35, 50, 89, 68, 49, 47, 63]]"
320,"[[36], [36, 27, 50, 31, 10, 100, 53, 21, 35, 29]]"
321,"[[65], [65, 11, 51, 54, 27, 55, 61, 31, 21, 3]]"
322,"[[50], [50, 27, 29, 35, 49, 83, 21, 87, 72, 98]]"
323,"[[62], [62, 36, 68, 50, 66, 49, 32, 27, 61, 31]]"
324,"[[50], [50, 29, 53, 35, 89, 36, 62, 32, 27, 72]]"
325,"[[10], [10, 18, 62, 32, 89, 50, 38, 55, 53, 67]]"
326,"[[10], [10, 9, 94, 55, 67, 86, 64, 60, 43, 1]]"
327,"[[1], [1, 89, 50, 36, 2, 32, 35, 60, 88, 62]]"
328,"[[94], [94, 55, 10, 9, 67, 1, 91, 60, 37, 86]]"
329,"[[89], [89, 91, 62, 94, 55, 97, 93, 47, 68, 86]]"
330,"[[49], [49, 54, 62, 32, 50, 68, 28, 89, 53, 48]]"
331,"[[53], [53, 35, 50, 56, 21, 6, 32, 61, 31, 12]]"
332,"[[50], [50, 53, 69, 72, 65, 31, 62, 27, 35, 89]]"
333,"[[32], [32, 49, 68, 62, 14, 50, 66, 89, 83, 28]]"
334,"[[14], [14, 41, 22, 47, 34, 12, 42, 54, 70, 63]]"
335,"[[27], [27, 100, 5, 31, 50, 21, 65, 29, 98, 36]]"
336,"[[53], [53, 32, 50, 62, 14, 55, 36, 54, 42, 10]]"
337,"[[83], [83, 95, 98, 97, 89, 7, 72, 93, 50, 3]]"
338,"[[10], [10, 22, 60, 50, 67, 36, 31, 27, 1, 55]]"
339,"[[7], [7, 29, 50, 10, 32, 35, 54, 11, 89, 23]]"
340,"[[89], [89, 97, 91, 94, 88, 96, 95, 93, 62, 60]]"
341,"[[50], [50, 29, 35, 89, 7, 36, 32, 53, 27, 72]]"
342,"[[89], [89, 83, 5, 90, 76, 19, 32, 28, 20, 49]]"
343,"[[98], [98, 83, 97, 72, 87, 78, 76, 89, 81, 73]]"
344,"[[55], [55, 10, 65, 62, 67, 66, 54, 6, 18, 27]]"
345,"[[31], [31, 49, 61, 54, 50, 53, 42, 65, 21, 27]]"
346,"[[89], [89, 62, 54, 32, 68, 49, 28, 47, 78, 72]]"
347,"[[72], [72, 76, 89, 54, 47, 83, 80, 93, 14, 78]]"
348,"[[12], [12, 14, 35, 29, 11, 31, 21, 65, 26, 50]]"
349,"[[62], [62, 53, 50, 89, 32, 68, 35, 49, 36, 66]]"
